rank,lemma,gloss,kind,ref_count,ref_coverage
212,ἀνάγκη,"force, constraint, necessity",,260,71.03
213,μαθητής,"a learner, pupil",,260,71.08
214,φύσις,"the nature, natural qualities, powers, constitution, condition",L,259,71.14
215,χώρα,land,,255,71.19
216,εἰσέρχομαι,to go in,L,255,71.25
217,δίκη,"(custom, usage) justice, lawsuit, penalty",L,254,71.3
218,θάλασσα,the sea,,253,71.35
219,μηδέ,but not,,253,71.41
220,ὀρθός,straight,L,253,71.46
221,γράφω,"to scratch, draw, write",L,252,71.52
222,εὐθύς,"straight, direct",,249,71.57
223,τρόπος,"a turn, direction, course, way; character",L,249,71.62
224,ἀείρω,"to lift, heave, raise up",L,249,71.67
225,ἀποκτείνω,"to kill, slay",L,249,71.73
226,θάνατος,death,,249,71.78
227,ἅμα,"at once, at the same time",,248,71.83
228,τροπός,a twisted leathern thong,L,248,71.89
229,ὁδός,"a way, path, track, journey",L,248,71.94
230,ὁμολογέω,"agree, say the same thing as",L,248,71.99
231,δικαιοσύνη,"righteousness, justice",L,247,72.05
232,παρέχω,"to furnish, provide, supply",L,245,72.1
233,ἀνά,"up, upon",F,245,72.15
234,μήν,"now verily, full surely",,245,72.2
235,παραδίδωμι,"to hand over, to surrender",L,244,72.25
236,φεύγω,"to flee, take flight, run away",L,243,72.31
237,στρατηγός,the leader,L,242,72.36
238,χράομαι,"use, experience",L,242,72.41
239,ἆρα,particle introducing a question,,242,72.46
240,χάρις,"gratitude, favor, grace, charm",,241,72.51
241,μικρός,"small, little",,240,72.56
242,ἵστημι,to make to stand,L,239,72.61
243,αἱρέω,"to take, (mid.) to choose",L,237,72.66
244,ὅτε,when,,237,72.72
245,ἵημι,"to set a going, put in motion",L,237,72.77
246,ἀξιόω,to think worthy of; to expect,L,236,72.82
247,ἐναντίος,opposite,,234,72.87
248,ζητέω,"to seek, seek for",L,234,72.92
249,πέμπω,"to send, despatch",L,231,72.97
250,βιός,a bow,,229,73.01
251,βίος,life,L,228,73.06
252,ἴσος,"equal to, the same as; adv. perhaps",,227,73.11
253,ἅγιος,"devoted to the gods, sacred, holy",L,227,73.16
254,σκοπέω,to look at,L,226,73.21
255,δικαστής,a judge,L,226,73.26
256,ναῦς,a ship,,225,73.3
257,ἀεί,"always, for ever",F,225,73.35
258,ἄδικος,"wrong-doing, unrighteous, unjust",L,223,73.4
259,οἰκία,"a building, house, dwelling",L,220,73.45
260,ὅλος,"whole, entire, complete in all its parts",,220,73.49
261,πλῆθος,"a great number, a throng, crowd, multitude",,219,73.54
262,ἔθνος,"a number of people accustomed to live together, a company, body of men",L,219,73.59
263,χράω,"to fall upon, attack, assail",L,218,73.63
264,στρατιώτης,a citizen bound to military service;,L,218,73.68
265,ἀρετή,"goodness, excellence",,217,73.73
266,ἐρῶ,[I will say],L,216,73.77
267,ταχύς,"quick, swift, fleet",L,215,73.82
268,ὑμέτερος,"your, yours",,213,73.86
269,ἄγγελος,"a messenger, envoy",L,213,73.91
270,εἴτε,whether..or (regardless of whether A or B),,211,73.95
271,ἀλήθεια,truth,L,211,74
272,πλεῖστος,"most, largest",,210,74.04
273,ποταμός,"a river, stream",L,210,74.09
274,δῆλος,"visible, conspicuous",L,208,74.13
275,ἀμφότερος,"each of two, both",,207,74.18
276,ἐνταῦθα,"here, there; at that juncture",,207,74.22
277,ἕως,(w. aor or as prep.) until; (w. pres) as long as,,206,74.27
278,φοβέω,"to put to flight, to terrify; mid. to fear",L,204,74.31
279,ἥκω,"to have come, be present, be here",L,204,74.35
280,κρίνω,"to pick out, choose, judge, determine",L,204,74.4
281,στράτευμα,"an expedition, campaign",L,202,74.44
282,κόσμος,order,,202,74.48
283,τρεῖς,three,L,199,74.52
284,ὄχλος,"a moving crowd, a throng, mob",L,199,74.57
